START YEAR,END YEAR,CLOSED,OPENED,DAYS
2007,2008,26 Dec,10 Apr,106
2008,2009,16 Dec,23 Mar,97
2009,2010,29 Dec,26 Mar,87
2010,2011,15 Dec,3 Apr,109
2011,2012,14 Jan,11 Mar,57
2012,2013,14 Jan,11 Apr,87
2013,2014,16 Dec,12 Apr,117
2014,2015,2 Jan,3 Apr,91
2015,2016,11 Jan,13 Mar,62
2016,2017,1 Jan,7 Mar,65
2017,2018,27 Dec,31 Mar,94
