streamorde,STATEFP,NAME,CASC,no,yes,total_comid,perc
8,NA,NA,NA,1122,13,1135,1.145374449339207
9,04,Arizona,Southwest,881,8,889,0.8998875140607425
9,05,Arkansas,Southeast,264,2,266,0.7518796992481203
9,06,California,Southwest,222,3,225,1.3333333333333335
9,17,Illinois,Midwest,84,3,87,3.4482758620689653
9,18,Indiana,Midwest,2,0,2,0
9,19,Iowa,Midwest,80,3,83,3.614457831325301
9,20,Kansas,North Central,67,2,69,2.898550724637681
9,21,Kentucky,Northeast,85,2,87,2.2988505747126435
9,29,Missouri,Midwest,506,14,520,2.6923076923076925
9,31,Nebraska,North Central,231,5,236,2.11864406779661
9,32,Nevada,Southwest,125,0,125,0
9,38,North Dakota,North Central,409,1,410,0.24390243902439024
9,40,Oklahoma,South Central,49,1,50,2
9,46,South Dakota,North Central,374,0,374,0
9,NA,NA,NA,212,3,215,1.3953488372093024
10,05,Arkansas,Southeast,65,1,66,1.5151515151515151
10,17,Illinois,Midwest,97,3,100,3
10,21,Kentucky,Northeast,24,0,24,0
10,22,Louisiana,South Central,196,3,199,1.507537688442211
10,28,Mississippi,Southeast,106,1,107,0.9345794392523363
10,29,Missouri,Midwest,141,3,144,2.083333333333333
10,47,Tennessee,Southeast,59,1,60,1.6666666666666667
