gage,streamorde,STATEFP,NAME,CASC,n_comid,total_length
yes,5,42,Pennsylvania,Northeast,69,104363.829
yes,5,44,Rhode Island,Northeast,3,73.51
yes,5,45,South Carolina,Southeast,19,6198.08
yes,5,46,South Dakota,North Central,37,137639.727
yes,5,47,Tennessee,Southeast,32,68780.069
yes,5,48,Texas,South Central,85,63543.294
yes,5,49,Utah,Southwest,27,17047.173
yes,5,50,Vermont,Northeast,5,1640.296
yes,5,51,Virginia,Northeast,50,46319.513
yes,5,53,Washington,Northwest,52,20073.076
yes,5,54,West Virginia,Northeast,29,74920.965
yes,5,55,Wisconsin,Midwest,38,68997.51699999999
yes,5,56,Wyoming,North Central,25,87433.474
yes,6,01,Alabama,Southeast,13,5726.787
yes,6,04,Arizona,Southwest,28,17763.235
yes,6,05,Arkansas,Southeast,14,17794.195
yes,6,06,California,Southwest,38,5922.856
yes,6,08,Colorado,North Central,23,53704.226
